ResponseId,CHECK,SM_VOLUME,SM_FREQ1,SM_FREQ2,SM_FREQ3,SM_FREQ4,SM_FREQ5,SM_FREQ6,SM_FREQ7,SM_FREQ8,SM_FREQ9,SM_FREQ10,SM_FREQ11,NSMCS_1,NSMCS_2,NSMCS_3,NSMCS_4,NSMCS_5,NSMCS_6,PSQI1,PSQI3,PSQI2,PSQI4,PSQI5_1,PSQI5_2,PSQI5_3,PSQI5_4,PSQI5_5,PSQI5_6,PSQI5_7,PSQI5_8,PSQI5_9,PSQI5_10,PSQI6,PSQI7,PSQI8,PSQI9,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,PSA1,PSA2,PSA3,PSA4,PSA5,PSA6,PSA7,PSA8,PSA9,PSA10,PSA11,PSA12,PSA13,PSA14,PSA15,PSA16,EMOINVEST_1,EMOINVEST_2,EMOINVEST_3,EMOINVEST_4,EMOINVEST_5,EMOINVEST_6,EMOINVEST_7,EMOINVEST_8,EMOINVEST_9,EMOINVEST_10,AGE,GENDER,MALE,NONBIN,RACE_WHITE,RACE_BLACK,RACE_LATIN,RACE_ASIAN,RACE_AIAN,RACE_NHOPI,RACE_MULTI,RACE_OTHER,EDUC,psaTOT,isiTOT,eminvTOT,nscmsTOT,smfreqTOT,PSQI_Quality,PSQI_Latc1,PSQI_Latc2,PSQI_Latsum,PSQI_Latency,PSQI_Duration,PSQI_TIB,PSQI_TIB2,PSQI_DUR,PSQI_EffRaw,PSQI_Efficiency,PSQI_Distraw,PSQI_Disturbance,PSQI_Medication,PSQI_DayRaw,PSQI_Dysfunction,PSQI_TotScore
R_60pIPzOr3Q1gyJD,2,3,1,4,4,1,6,1,2,1,7,1,2,4,3,3,3,3,4,5,27,30,20,4,4,3,1,1,2,3,2,2,1,3,2,2,2,4,4,4,2,4,3,3,3,3,4,2,4,2,3,2,4,4,1,2,2,4,4,1,5,5,2,2,4,5,2,2,1,5,18,1,1,0,0,0,1,0,0,0,0,0,2,2.8125,17,3.3,3.33333333333333,2.72727272727273,1,1,3,4,2,0,35,11,9.5,.863636363636364,0,10,2,2,2,1,8
R_1QaNeRltMPWHzYD,1,3,7,5,1,6,5,1,1,1,4,1,6,3,3,2,3,3,4,12,23,10,12,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,4,2,2,1,2,2,2,2,1,2,2,1,1,1,3,1,1,1,3,1,6,3,27,1,1,0,1,0,0,0,0,0,0,0,1,1.875,1,2.1,3,3.45454545454545,0,0,0,0,0,2,29.5,5.5,5.5,1,0,2,1,0,0,0,3
R_7JFd5lLSmd2cNX5,2,3,5,6,5,6,5,3,3,3,5,1,5,1,2,2,2,2,2,1,18,20,15,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,3,3,2,3,24,1,1,0,1,0,0,0,0,0,0,0,3,1.1875,2,2.8,1.83333333333333,4.27272727272727,0,1,0,1,1,0,32.5,8.5,7,.823529411764706,1,2,1,0,0,0,3
R_7M2F1NA1xYoarHX,2,1,7,7,6,7,1,1,2,1,1,1,1,5,4,3,1,2,4,4,7,20,4,2,1,4,4,3,2,1,3,2,2,4,1,4,1,2,1,1,1,2,5,5,4,5,4,2,3,1,1,2,1,5,2,5,3,5,1,5,6,5,5,6,6,5,5,4,3,2,20,1,1,0,0,1,0,0,0,0,0,0,2,3.0625,10,4.7,3.16666666666667,3.18181818181818,0,1,1,2,1,3,25.5,1.5,1.5,1,0,13,2,3,3,2,11
R_6AGNv3uHf3hThYP,2,3,2,4,4,6,5,4,4,4,4,3,4,4,4,5,4,5,6,8,4,90,7,2,3,3,2,2,2,2,1,3,3,1,3,2,1,3,2,3,1,3,2,3,3,5,4,4,4,5,2,3,2,2,3,3,3,2,3,3,5,5,4,3,5,4,2,5,4,5,18,1,1,0,1,0,0,0,0,0,0,0,3,3.1875,10,4.2,4.66666666666667,4,0,3,1,4,2,3,22,22,3,.136363636363636,3,12,2,0,3,2,12
R_7kw658VFPi8hNE5,2,1,1,7,1,2,1,1,1,1,1,1,1,6,6,6,6,6,6,6,25,5,1,1,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,6,1.63636363636364,0,0,0,0,0,3,33.5,9.5,0,0,3,6,1,0,0,0,7
R_5Jy1DhTXvFIkWQk,2,1,5,6,1,6,1,2,1,3,1,1,2,3,1,5,1,3,1,45,14,5,18,1,1,1,2,2,2,2,2,1,1,1,2,3,2,1,1,1,3,4,2,2,1,3,2,3,2,2,2,2,1,1,1,2,2,2,1,2,2,1,3,2,1,3,4,3,3,2,30,1,1,0,1,0,0,0,0,0,0,0,5,1.8125,7,2.4,2.33333333333333,2.63636363636364,1,0,0,0,0,0,8.5,8.5,8.5,1,0,5,1,0,3,2,4
R_53DqFPaOPFMW8it,2,3,3,5,3,3,3,4,3,2,5,1,4,1,1,2,1,1,1,25,15,30,17,1,4,4,1,2,1,1,2,2,1,3,1,1,1,1,1,1,2,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,4,5,1,4,1,30,1,1,0,0,1,0,0,0,0,0,0,2,1.25,1,2.7,1.16666666666667,3.27272727272727,0,1,0,1,1,0,19,19,8,.421052631578947,3,9,1,2,0,0,7
R_1vekIX2j4UyOfGP,2,2,5,7,6,2,2,4,2,1,6,1,5,4,3,4,4,2,3,4,17,20,13,3,2,2,3,2,4,3,3,2,3,3,2,3,3,3,2,3,3,4,2,3,2,3,4,3,4,3,3,4,3,2,3,3,3,4,3,3,4,3,3,2,3,3,4,3,4,3,25,1,1,0,0,0,1,0,0,0,0,0,3,3.125,13,3.2,3.33333333333333,3.72727272727273,2,1,2,3,2,1,30.5,6.5,6,.923076923076923,0,15,2,2,3,2,11
R_5mYyfxIl0rA9EfD,2,4,1,7,1,1,3,3,1,1,1,1,4,4,4,4,2,2,2,2,19,30,15,4,4,4,1,1,1,1,1,3,2,1,1,2,2,2,2,2,2,1,2,2,2,3,1,3,4,3,3,2,1,1,1,1,1,1,1,1,2,6,6,6,6,6,6,1,6,6,25,1,1,0,1,0,0,0,0,0,0,0,3,1.8125,6,5.1,3,2.18181818181818,1,1,3,4,2,0,32.5,8.5,7,.823529411764706,1,9,1,0,1,1,6
